r_id	date	duration	name	price	qntysold
15366	4/15/2003	1	HP JORNADA 560 SERIES POCKET PC COLOR 	262	2
13062	4/15/2003	1	REFURBISHED PALM M515 N/R 	256	7
37704	4/15/2003	87	PALM i705 + FOLDING KEYBOARD + EXTRAS 	207	8
92546	4/15/2003	56	Royal DaVinci DV3 PDA 2mb w/ case 	332	12
33179	4/15/2003	53	PALM V ~ Keyboard and Accessories 	301	13
19140	4/15/2003	91	Royal DaVinci DV3 PDA 2mb w/ keyboard 	123	5
93389	4/15/2003	69	"PALM IIIx, PALM 3X, + COVER, NO RESERVE $1 "	337	7
84505	4/15/2003	5	Compaq iPAQ 3835 Color Pocket PC 	123	1
66423	4/15/2003	64	Intermec Norand 6400 Radio barcode terminal 	307	9
56817	4/15/2003	89	Palm m 130...like new! w/ leather wallet 	216	5
33308	4/15/2003	57	IPAQ 3635 with cf jacket handheld pda - MINT 	326	7
74899	4/15/2003	71	"iPAQ 3975 w/ Bluetooth, Navman GPS, WiFi, NR "	274	5
30841	4/15/2003	66	NEW Dell Axim x5 Pcket PC PDA 	221	12
91796	4/15/2003	72	BRAND NEW SHARP ZAURUS SL5500 5500 PDA 	182	10
69356	4/15/2003	66	Symbol SPT-1500 Barcode Scanner Palm III PDA 	265	11
41363	4/15/2003	9	Symbol SPT-1500 Barcode Scanner Palm III PDA 	202	1
90848	4/15/2003	72	"Palm M500 w/ 24MB, USB Cradle Leather Holster "	317	0
21154	4/15/2003	61	New Dell Axim X5 400 MHZ PDA+USB Cradle+Case! 	230	6
61114	4/15/2003	59	PALM ZIRE - BRAND NEW & SEALED - NO RESERVE! 	112	2
91200	4/15/2003	58	HANDSPRING TREO 90 16MB COLOR PDA-BRAND NEW!! 	184	1
63950	4/15/2003	60	**Barely Used Palm m500 w/ Warranty**L@@K! 	290	9
85684	4/15/2003	95	New PALM M515 Color PDA Handheld >M130 M125 	323	14
84376	4/15/2003	94	DELL AXIM X5 PDA POCKET PC 400MHZ+Cradle+Case 	323	4
66477	4/15/2003	87	HP Compaq Ipaq 1910 Pocket PC PDA h1910 NEW!! 	131	6
26428	4/15/2003	87	*NEW* Sony Clie PEG-SJ22 Handheld PDA 	303	2
62327	4/15/2003	92	HP Jornada 548 Color Pocket PC PDA 	137	0
31278	4/15/2003	36	CASIO BE 300 16 MB COLOR PDA 160MB CF MINT!! 	227	15
99906	4/15/2003	12	*Brand New* Sharp Zaurus SL-5500 Handheld PDA 	118	14
42373	4/15/2003	26	SONY CLIE PDA PEG-NR70V/U w/ EXTRAS! 	221	5
63906	4/15/2003	3	HP iPAQ h5455 BRAND NEW Bluetooth w/WARRANTY 	276	6
31032	4/15/2003	43	Fujitsu Pocket LOOX pocket pc 	313	8
50133	4/15/2003	87	Dell Axim X5 Handheld PDA **NR** Check it out 	318	11
16953	4/15/2003	87	NEW FACTORY SEALED PALM M130 ***NR*** 	324	12
81616	4/15/2003	78	New SONY PEG-SJ33 CLIE Handheld w/MP3 >T665C 	127	0
33286	4/15/2003	61	SHARP Wizard (OZ 770) PDA/Handheld 	243	11
26260	4/15/2003	4	Palm Vx with Box Barely ever used PalmVX 	214	6
65247	4/15/2003	99	Sony CLIE PEG-N610C .... 	217	9
83246	4/15/2003	75	Compaq Ipaq 3765 	135	8
93124	4/15/2003	62	Brand NEW Palm Tungsten T Handheld Bluetooth 	117	4
82033	4/15/2003	47	NEC Mobilepro 780 Handheld Computer - hpc pda 	121	10
54684	4/15/2003	13	BLOWOUT SALE New DELL Axim X5 300 Mhz PDA NR! 	130	0
36951	4/15/2003	100	New Dell Axim X5 400 MHZ PDA+USB Cradle+Case! 	164	4
89233	4/15/2003	64	Dell Axim X5 Handheld PDA **NR** Check it out 	249	7
54444	4/15/2003	17	NICE!! Compaq iPAQ 3635 32MB Color PocketPC!! 	345	7
59738	4/15/2003	11	iPAQ 3835 Like New DONT MISS OUT ON THIS ONE 	187	13
92181	4/15/2003	9	Palm Tungston T 	214	14
63356	4/15/2003	55	Sony PEG-NR70 clie Palm PDA Brand New Retail 	313	4
70544	4/15/2003	34	Palm Vx PDa - 8MB NR 	343	4
